Year,Total Precipitation (mm),Total PET (mm),Average Discharge - KB300 (m3/year),Average Discharge - KB175 (m3/year),Average Discharge - KB100 (m3/year),Average Discharge - KB150 (m3/year),Average Discharge - KB300 (m3/s),Average Discharge - KB100 (m3/s),Average Discharge - KB150 (m3/s),Average Discharge - KB175 (m3/s),Discharge - KB300 (mm),Discharge - KB100 (mm),Discharge - KB150 (mm),Discharge - KB175 (mm),Total Applied Cl KB175 (kg),Total Applied Cl KB150 (kg),Total Applied Cl KB300 (kg),Total Applied Cl KB100 (kg),KB300 Cl (kg),KB175 Cl (kg),KB175 Cl (kg)_corrected,MB100 Cl (kg),KB150 Cl (kg),KB100 Cl (kg),Total Cl Stored KB100,Total Cl Stored KB150,Total Cl Stored KB175,Total Cl Stored KB300,Total Applied Cl KB100 - Normalised (kg),Total Applied Cl KB150 - Normalised (kg),Total Applied Cl KB300 - Normalised (kg),Total Applied Cl KB175 - Normalised (kg),KB175 retention,KB150 retention,KB300 retention,KB100 retention
2018,1558.036,643.3820000000001,846341.1809436618,2047237.7886740833,4347506.044444673,1453927.0748269279,0.026833899205569493,0.13784102867611517,0.04609787808582523,0.06490925138472046,877.451850520149,934.327364093634,871.934873649117,695.9776885590932,193805.9686256653,284322.64491487073,39698.97490572992,517827.58844626596,25819,143647,158519,NA,202753,372219,145608.58844626596,81569.64491487073,50158.96862566529,13879.97490572992,56319.7082179136,55423.079294801086,57454.412833351635,57454.41283335164,26,29,35,28
2019,1312.6719999999998,643.3820000000001,528777.6648702829,1207850.260584536,2841061.12387461,1104433.1984197912,0.016765303261581575,0.09007803182861794,0.035016905466702324,0.03829582310033405,548.2150118665186,610.5756090875615,662.3398367023898,410.6200252544047,161335.40897110227,245570.75472364307,33047.74562707292,439953.90932181827,15298,62863,81325,NA,152103,230264,209689.90932181827,93467.75472364307,98472.40897110227,17749.745627072924,47850.04962111322,47869.16432775759,47828.40929717271,47828.409297172715,61,38,54,48
