date,totalDischarge_KB100,totalDischarge_KB150,totalDischarge_KB300,totalDischarge_KB175,dailyDischarge_KB100,dailyDischarge_KB150,dailyDischarge_KB175,dailyDischarge_KB300,dailyStage_KB100,dailyStage_KB150,dailyStage_KB300,dailyStage_MB100,totalClkg_KB100,totalClkg_KB150,totalClkg_KB175,totalClkg_KB175_corrected,totalClkg_KB300,totalClkg_MB100,fluxClKB100,fluxClKB300,fluxClKB150,season,year,month,day,rain_mm,avg_PET,airtempr,daily_ave_water_temp,monthYear,waterYear,rownum,flowRatio
2018-02-12,53000.13031697986,11024.37774820806,5370.982430014734,36604.770138757034,0.613427434224304,0.12759696467833403,0.4236663210504286,0.0621641484955409,0.708891096413695,0.30171409240069086,0.3573996549832368,0.26424002550035486,4124.267072419999,1621.7330161700002,2440.7002578541933,2442.43147349254,61.8337983958074,303.1263632080063,77.81616852173458,11.512567617101247,147.10426776092666,winter,2018,2,12,17.272000000000002,0.49892857142857144,-0.605458333,-0.014479166666666666,Feb 2018,2018,43,false
2018-02-13,26504.56567727414,7750.594482698814,3749.4795194647236,15004.491675110596,0.3067658064499322,0.08970595466086591,0.17366309809155783,0.043396753697508374,0.5982831139388397,0.2506953543127095,0.309222165447526,0.19089308081885523,2580.2296696200005,948.6641671089994,1567.5399340501606,1567.5399340501606,64.02556846083834,99.25798628116088,97.35038487472262,17.075854962925266,122.39889072078864,winter,2018,2,13,0,0.49892857142857144,-4.507604167,0.056041666666666684,Feb 2018,2018,44,false
2018-02-14,14202.355071373904,6398.653093897735,3313.27972813166,4490.422249344505,0.16437910962238314,0.07405848488307563,0.05197247973778362,0.03834814500152384,0.5200705446002235,0.22803370837143147,0.29438897038504486,0.16585851214060665,1401.3808085700005,841.3078856580004,492.1017856325324,492.1017856325324,67.97113727946768,68.18442430680535,98.67242450476448,20.514759651095392,131.4820280631151,winter,2018,2,14,0,0.49892857142857144,1.315614583,0.3657986111111111,Feb 2018,2018,45,false
2018-02-15,13142.421766272057,5623.266228688894,3348.795041079758,4170.360496503408,0.15211136303555622,0.06508409986908442,0.04826806130212278,0.03875920186434905,0.5104817353957126,0.21441521091130752,0.2955205779233971,0.16530673656405473,1339.3792958599993,838.8828599419999,433.26575252282953,433.26575252282953,67.23068339517067,70.15299223719069,101.91267025817906,20.076081865402358,149.18071203212295,winter,2018,2,15,0,0.49892857142857144,3.806541667,0.5470833333333334,Feb 2018,2018,46,false
2018-02-16,15843.126936480354,5910.564442022846,3949.039451137783,5983.523043319725,0.18336952472778187,0.06840931067156072,0.06925373892731163,0.045706475128909525,0.5335440840698974,0.21950420755867112,0.31564276130244834,0.1770267519557037,1533.3675653500002,949.388826332,514.7060961050611,514.7060961050611,69.27264291293882,92.58829090544047,96.78440193641768,17.54164367564883,160.62574660078977,winter,2018,2,16,2.54,0.49892857142857144,3.593677083,0.39611111111111114,Feb 2018,2018,47,false
2018-02-17,15111.570544242546,5346.243418273511,3174.3582203464794,6590.968905622559,0.1749024368546591,0.061877817341128606,0.07628436233359442,0.036740257179936106,0.5200852921873412,0.20941362069491007,0.28941004109519436,0.15442589484913052,1621.3372574779996,863.1557032770003,700.2335644723388,766.3435693309926,57.94798972866099,63.37081065848504,107.29111529017898,18.25502533306906,161.45087975731255,winter,2018,2,17,0.508,0.49892857142857144,-0.8023125,0.2748611111111111,Feb 2018,2018,48,false
2018-02-18,11862.900355201888,4699.801338943672,3056.396523351857,4106.7024929063555,0.1373020874444663,0.05439584883036657,0.047531278853082816,0.035374959761016865,0.49766680158488263,0.19746375876257238,0.285173526922686,0.1545507097937612,1292.7870942859995,737.5353691759999,500.02424572762953,500.02424572762953,55.227479382370454,63.85593838812465,108.97732051834285,18.069474611822997,156.9290520994167,winter,2018,2,18,8.382,0.49892857142857144,-1.476729167,0.2715625,Feb 2018,2018,49,false
2018-02-19,12750.447927716006,6004.285334926319,3286.1940462525804,3459.9685465371103,0.14757462879300934,0.06949404322831387,0.040045932251586924,0.03803465331310857,0.5059596216092654,0.21964448948491314,0.2924699855735037,0.15888937798435343,1416.6723221699997,912.2553266290003,438.24721809299353,438.24721809299353,66.16977744800647,70.36893157511578,111.10765129204123,20.13568782508852,151.9340397303412,winter,2018,2,19,0,0.49892857142857144,-0.567885417,0.21343750000000006,Feb 2018,2018,50,false
2018-02-20,20492.212985867012,6739.461133414594,4893.674505181144,8859.077347271274,0.23717839104012745,0.07800302237748373,0.10253561744526937,0.05663975121737435,0.5659193541603169,0.23385109194351314,0.3444343677232551,0.1917196650919426,1658.2277659000006,1100.2375407490001,491.9555655771292,491.9555655771292,66.03465957387074,98.2410518944685,80.91989708693934,13.49388062159774,163.2530433767124,winter,2018,2,20,8.382,0.49892857142857144,9.52378125,0.8165625,Feb 2018,2018,51,false
2018-02-21,24282.8889178166,7513.209614308073,3820.9479159004163,12948.731387608117,0.2810519550673217,0.08695844461004713,0.14986957624546432,0.044223934211810374,0.5914521035253479,0.24684767286396422,0.31160084334044497,0.172741318957634,1866.0029052300001,1084.5154366699994,725.4005754498146,725.4005754498146,56.086893110185336,6.765306119858821,76.84435371529848,14.678790275257734,144.34782101708706,winter,2018,2,21,0,0.49892857142857144,12.88120833,1.8791666666666667,Feb 2018,2018,52,false
2018-02-22,21723.022846524647,7426.430527456338,3978.6264018698016,10317.965917198504,0.2514238755384797,0.08595405703074464,0.11942090181942713,0.04604891668830789,0.5747867008026009,0.2453351327847201,0.3161995643096615,0.16291540704053606,1638.2219365600006,915.6088075890001,663.023077509207,663.023077509207,59.59005146179335,5.421827315854429,75.41408707868166,14.977543866342494,123.29056391275631,winter,2018,2,22,0,0.49892857142857144,1.184927083,1.0567708333333332,Feb 2018,2018,53,false
2018-02-23,15147.712293878221,6328.80727172953,4673.790594540831,4145.114427607861,0.17532074414210905,0.07325008416353622,0.04797586143064654,0.05409479854792629,0.5280679022147718,0.2267271498526872,0.33764588829625114,0.1646343130651228,1250.3908800600002,724.1185507140001,445.4030428332338,445.4030428332338,80.8692865127664,20.581233437229503,82.54651631885903,17.302719254736157,114.41627460336831,winter,2018,2,23,5.588,0.49892857142857144,-0.611833333,0.5897916666666666,Feb 2018,2018,54,false
2018-02-24,19072.846133670962,6979.789043083881,5320.256133274976,6772.8009573121,0.22075053395452504,0.08078459540606343,0.07838889996889005,0.061577038579571475,0.5580296037793355,0.23797056639236006,0.35674545240272276,0.1787790475972777,1586.4387522700006,985.0656514889997,510.9474134424239,510.9474134424239,90.42568733857617,52.11568948780433,83.17787188925736,16.996491348042124,141.13114958181717,winter,2018,2,24,9.398,0.49892857142857144,3.127635417,1.1058680555555556,Feb 2018,2018,55,false
2018-02-25,24166.461887159032,9169.759008577095,6000.951436184787,8995.751442397148,0.2797044199902666,0.10613147000667934,0.10411749354626329,0.06945545643732393,0.5893149912120288,0.272991409732805,0.3737501397439804,0.19174829152697387,2070.0072429600004,1258.9459824799997,700.2492671248172,700.2492671248172,110.8119933551828,71.17283512773514,85.65619794182238,18.465737397407356,137.29324634403395,winter,2018,2,25,4.826,0.49892857142857144,1.239802083,0.7813888888888889,Feb 2018,2018,56,false
2018-02-26,26047.474251673495,9070.283978572841,4740.183858930366,12237.006414170291,0.3014753964314062,0.10498013864088937,0.14163201868252653,0.05486323910799035,0.6007472488062582,0.27180440881844964,0.34019865965660867,0.16971467697856377,2476.993090619999,1243.9881407210005,1141.7927443367676,1141.7927443367676,91.21220556223217,50.560674441866084,95.09532735063006,19.24233495508641,137.14985590966415,winter,2018,2,26,9.398,0.49892857142857144,3.64390625,1.3888541666666665,Feb 2018,2018,57,false
2018-02-27,17196.365247440277,6586.778575671518,4239.771426179352,6369.815245589403,0.19903200517870692,0.07623586314434627,0.0737247134906181,0.049071428543742496,0.5442567962003454,0.23124206969419892,0.3250575637508889,0.1595035915371334,1548.3498451900002,746.1306097619998,705.2534254426629,705.2534254426629,96.96580998533709,46.48369487690835,90.03936720990943,22.870527733311636,113.27701412612497,winter,2018,2,27,0,0.49892857142857144,2.484479167,1.9135416666666667,Feb 2018,2018,58,false
2018-02-28,14291.690789411536,5334.233052810166,3918.9922153891625,5038.465521212202,0.16541308784041128,0.06173880848159914,0.05831557316217826,0.045358706196633826,0.5209110060957025,0.20919226876968403,0.3148374858782891,0.15526060281418294,1244.5360833099999,619.9367080859998,535.830870141452,535.830870141452,88.76850508254779,43.05971087246933,87.081094997665,22.650850066496734,116.21852700256628,winter,2018,2,28,0,0.49892857142857144,5.940135417,2.7070833333333333,Feb 2018,2018,59,false
2018-03-01,13019.347178113354,4534.4025167754735,3699.249192345832,4785.695468992052,0.15068688863557123,0.05248151061082724,0.05538999385407468,0.04281538417066935,0.5094506921162247,0.19436123189068372,0.30763418881438565,0.15362398034135968,1128.9269697300003,558.5614918299999,489.04338928178186,489.04338928178186,81.32208861821815,51.81110984039005,86.71148824019564,21.983403763791532,123.18304115339255,spring,2018,3,1,0.7619999999999999,1.028290322580645,7.023510417,3.780104166666667,Mar 2018,2018,60,false
2018-03-02,16997.658083319788,6277.381378234886,5957.103615506099,4763.173089578802,0.19673215374212719,0.07265487706290377,0.055129318166421325,0.06894795851280207,0.5416806445189475,0.2254016654983237,0.3721602779132378,0.20296832774560636,1384.7206615500004,880.9751328719999,391.4712735999449,391.4712735999449,112.27425507805503,159.23980169389864,81.46537921649691,18.847121407425195,140.34118365446804,spring,2018,3,2,10.413999999999998,1.028290322580645,0.078291667,1.0593402777777778,Mar 2018,2018,61,false
2018-03-03,20923.61474294299,7539.685597022685,4974.665027086805,8409.264118833502,0.24217146693221053,0.08726487959516997,0.0973294458198322,0.05757714151720839,0.5707654041958752,0.24731945753327236,0.34694046515290045,0.1807595406380171,2010.0783397600007,1245.8640214599993,661.4835355037512,661.4835355037512,102.73078279624877,103.68366322986664,96.06745127239306,20.650794020679733,165.24084531481967,spring,2018,3,3,14.477999999999998,1.028290322580645,0.7659375,0.9147222222222223,Mar 2018,2018,62,false
2018-03-04,18960.838387037897,6703.781160689687,4350.167445617679,7906.889780730528,0.2194541479981238,0.0775900597302047,0.09151492801771445,0.05034916025020462,0.5572915050289545,0.23326644579904499,0.3284710906227775,0.1689510397236617,1908.1800288700003,1016.132091041,770.489965793728,770.489965793728,121.55797203527204,93.31087467246142,100.63795650378414,27.94328575966162,151.5759638753572,spring,2018,3,4,0,1.028290322580645,0.1674375,1.085798611111111,Mar 2018,2018,63,false
