date,DMtemp
11/15/17,3.90602
11/16/17,4.775979167
11/17/17,-0.047270833
11/18/17,-0.397489583
11/19/17,5.118427083
11/20/17,0.49
11/21/17,3.522645833
11/22/17,1.647541667
11/23/17,-1.013802083
11/24/17,0.94409375
11/25/17,5.304416667
11/26/17,1.72503125
11/27/17,0.132333333
11/28/17,0.0655
11/29/17,6.206875
11/30/17,0.27440625
12/1/17,2.868541667
12/2/17,-1.337010417
12/3/17,0.128
12/4/17,-0.701260417
12/5/17,7.82996875
12/6/17,2.313645833
12/7/17,0.6894375
12/8/17,-2.3835625
12/9/17,-2.33125
12/10/17,-2.386854167
12/11/17,-1.4973125
12/12/17,-1.330458333
12/13/17,-8.866791667
12/14/17,-9.279125
12/15/17,-9.603822917
12/16/17,-7.190677083
12/17/17,-8.413895833
12/18/17,-1.864395833
12/19/17,3.648708333
12/20/17,0.551
12/21/17,-3.887958333
12/22/17,-4.1918125
12/23/17,0.221489583
12/24/17,-0.580885417
12/25/17,-3.211479167
12/26/17,-9.25915625
12/27/17,-13.23741667
12/28/17,-16.93757292
12/29/17,-15.67616667
12/30/17,-14.67101042
12/31/17,-16.38223958
1/1/18,-19.39626316
1/2/18,-13.01502083
1/3/18,-12.72698958
1/4/18,-9.046822917
1/5/18,-14.50971875
1/6/18,-17.39221875
1/7/18,-16.49845833
1/8/18,-5.413791667
1/9/18,-2.262385417
1/10/18,-4.227385417
1/11/18,5.865822917
1/12/18,12.77196875
1/13/18,-4.762697917
1/14/18,-13.89115625
1/15/18,-9.15321875
1/16/18,-4.208770833
1/17/18,-3.85190625
1/18/18,-8.49371875
1/19/18,-5.753739583
1/20/18,-1.53940625
1/21/18,-0.24903125
1/22/18,1.585375
1/23/18,3.863375
1/24/18,-2.991614583
1/25/18,-8.159614583
1/26/18,-6.959010417
1/27/18,2.752166667
1/28/18,3.5635
1/29/18,-0.09625
1/30/18,-3.883677083
1/31/18,-5.481239583
2/1/18,-0.38109375
2/2/18,-7.716135417
2/3/18,-9.5800625
2/4/18,-0.85790625
2/5/18,-4.73859375
2/6/18,-6.42778125
2/7/18,-6.123760417
2/8/18,-7.359072917
2/9/18,-7.09553125
2/10/18,3.7875
2/11/18,3.680875
2/12/18,-0.605458333
2/13/18,-4.507604167
2/14/18,1.315614583
2/15/18,3.806541667
2/16/18,3.593677083
2/17/18,-0.8023125
2/18/18,-1.476729167
2/19/18,-0.567885417
2/20/18,9.52378125
2/21/18,12.88120833
2/22/18,1.184927083
2/23/18,-0.611833333
2/24/18,3.127635417
2/25/18,1.239802083
2/26/18,3.64390625
2/27/18,2.484479167
2/28/18,5.940135417
3/1/18,7.023510417
3/2/18,0.078291667
3/3/18,0.7659375
3/4/18,0.1674375
3/5/18,-0.635010417
3/6/18,1.105072917
3/7/18,-0.886104167
3/8/18,-0.655010417
3/9/18,-1.048177083
3/10/18,-0.406479167
3/11/18,-0.784875
3/12/18,1.6763125
3/13/18,-0.499875
3/14/18,-0.321635417
3/15/18,0.66634375
3/16/18,-2.129364583
3/17/18,-2.00371875
3/18/18,-5.879010417
3/19/18,-3.041145833
3/20/18,-2.31575
3/21/18,0.851760417
3/22/18,2.920708333
3/23/18,1.677145833
3/24/18,1.718260417
3/25/18,0.47871875
3/26/18,1.571291667
3/27/18,2.780145833
3/28/18,4.725395833
3/29/18,4.278552083
3/30/18,6.354947917
3/31/18,6.000375
4/1/18,3.8873125
4/2/18,1.2078125
4/3/18,0.759979167
4/4/18,4.431364583
4/5/18,-1.252364583
4/6/18,-0.594864583
4/7/18,0.80978125
4/8/18,-1.38240625
4/9/18,0.576697917
4/10/18,1.461364583
4/11/18,2.69015625
4/12/18,6.6929375
4/13/18,12.14716667
4/14/18,10.06035417
4/15/18,-0.106020833
4/16/18,2.93315625
4/17/18,3.04090625
4/18/18,3.162708333
4/19/18,2.166135417
4/20/18,2.155572917
4/21/18,6.219395833
4/22/18,6.913229167
4/23/18,10.63647917
4/24/18,12.57633333
4/25/18,12.05033333
4/26/18,11.11829167
4/27/18,7.57034375
4/28/18,13.31728125
4/29/18,6.045072917
4/30/18,4.775916667
5/1/18,13.18845833
5/2/18,21.01364583
5/3/18,21.92278125
5/4/18,21.22014583
5/5/18,16.7903125
5/6/18,13.3499375
5/7/18,14.54994792
5/8/18,16.79836458
5/9/18,19.16530208
5/10/18,17.01741667
5/11/18,14.24955208
5/12/18,8.058791667
5/13/18,13.60807292
5/14/18,17.13644792
5/15/18,17.9095625
5/16/18,16.79505208
5/17/18,19.48289583
5/18/18,17.44826042
5/19/18,10.41892708
5/20/18,18.77483333
5/21/18,17.76922917
5/22/18,13.66272917
5/23/18,19.495
5/24/18,18.56576042
5/25/18,20.90654167
5/26/18,24.03391667
5/27/18,14.12840625
5/28/18,17.34380208
5/29/18,23.21760417
5/30/18,22.83805208
5/31/18,19.85478125
6/1/18,23.68166667
6/2/18,22.88661458
6/3/18,20.23811458
6/4/18,12.67819792
6/5/18,13.24369792
6/6/18,16.01805208
6/7/18,17.03475
6/8/18,20.56023958
6/9/18,20.03046875
6/10/18,17.49676042
6/11/18,19.84
6/12/18,19.87005208
6/13/18,18.46696875
6/14/18,20.44603125
6/15/18,15.98078125
6/16/18,19.95304167
6/17/18,23.920125
6/18/18,25.93104167
6/19/18,23.0215
6/20/18,20.88679167
6/21/18,21.93851042
6/22/18,21.742625
6/23/18,15.95511458
6/24/18,20.88483333
6/25/18,18.292625
6/26/18,19.77660417
6/27/18,18.153125
6/28/18,21.584125
6/29/18,25.28725
6/30/18,27.1606875
7/1/18,28.77097917
7/2/18,29.90555208
7/3/18,27.700875
7/4/18,29.57094792
7/5/18,28.52855208
7/6/18,23.93040625
7/7/18,19.76672917
7/8/18,22.76254167
7/9/18,24.13786458
7/10/18,24.7304375
7/11/18,22.57254167
7/12/18,21.63801042
7/13/18,23.91980208
7/14/18,23.4660625
7/15/18,26.37215625
7/16/18,29.11780208
7/17/18,23.27432292
7/18/18,21.46575
7/19/18,20.9189375
7/20/18,23.2508125
7/21/18,22.34217708
7/22/18,23.65213542
7/23/18,25.16157292
7/24/18,27.28395833
7/25/18,23.78984375
7/26/18,23.68609375
7/27/18,24.66275
7/28/18,24.68340625
7/29/18,21.88552083
7/30/18,22.63539583
7/31/18,23.88292708
8/1/18,21.471625
8/2/18,25.81333333
8/3/18,23.8461875
8/4/18,23.73830208
8/5/18,24.95603125
8/6/18,26.3574375
8/7/18,25.78344792
8/8/18,24.41046875
8/9/18,24.06244792
8/10/18,23.5585
8/11/18,19.7934375
8/12/18,22.1060625
8/13/18,21.24860417
8/14/18,23.79338542
8/15/18,23.77708333
8/16/18,24.21542708
8/17/18,23.94925
8/18/18,22.29092708
8/19/18,21.5808125
8/20/18,21.22589583
8/21/18,20.99130208
8/22/18,21.147125
8/23/18,18.9376875
8/24/18,20.19440625
8/25/18,20.19988542
8/26/18,22.18825
8/27/18,24.15054167
8/28/18,26.6131875
8/29/18,27.55386458
8/30/18,23.96288542
8/31/18,19.08170833
9/1/18,20.35807292
9/2/18,21.39933333
9/3/18,26.09427083
9/4/18,24.42207292
9/5/18,25.05927083
9/6/18,23.7710625
9/7/18,20.15748958
9/8/18,15.20070833
9/9/18,12.06475
9/10/18,11.74970833
9/11/18,19.15459375
9/12/18,20.39814583
9/13/18,22.13440625
9/14/18,21.50944792
9/15/18,22.31915625
9/16/18,22.83922917
9/17/18,22.2458125
9/18/18,20.71736458
9/19/18,20.00536458
9/20/18,18.43258333
9/21/18,17.39605208
9/22/18,15.33765625
9/23/18,11.73023958
9/24/18,9.838989583
9/25/18,11.72055208
9/26/18,21.8945
9/27/18,16.77730208
9/28/18,12.9344375
9/29/18,13.82464583
9/30/18,11.92914583
10/1/18,15.09533333
10/2/18,13.9533125
10/3/18,15.43485417
10/4/18,17.7279375
10/5/18,13.39271875
10/6/18,13.35945833
10/7/18,19.767875
10/8/18,14.9356875
10/9/18,19.5645625
10/10/18,21.537875
10/11/18,19.37442708
10/12/18,11.1339375
10/13/18,6.489302083
10/14/18,6.5785
10/15/18,9.27528125
10/16/18,6.843791667
10/17/18,5.065895833
10/18/18,2.267083333
10/19/18,6.55534375
10/20/18,10.15566667
10/21/18,3.515020833
10/22/18,3.584583333
10/23/18,7.4701875
10/24/18,4.841635417
10/25/18,2.598916667
10/26/18,1.343854167
10/27/18,3.511166667
10/28/18,6.014447917
10/29/18,6.378354167
10/30/18,3.251458333
10/31/18,6.989604167
11/1/18,11.15191667
11/2/18,15.19569792
11/3/18,9.02771875
11/4/18,4.716291667
11/5/18,4.513760417
11/6/18,8.94471875
11/7/18,9.47865625
11/8/18,3.1931875
11/9/18,1.42528125
11/10/18,2.421822917
11/11/18,-0.20928125
11/12/18,0.681385417
11/13/18,2.507333333
11/14/18,-3.224302083
11/15/18,-4.737197917
11/16/18,0.479833333
11/17/18,3.2156875
11/18/18,0.143708333
11/19/18,1.235104167
11/20/18,0.561604167
11/21/18,-1.812239583
11/22/18,-12.15542708
11/23/18,-9.417614583
11/24/18,-1.589302083
11/25/18,3.731791667
11/26/18,2.12653125
11/27/18,0.946552083
11/28/18,0.134479167
11/29/18,0.9576875
11/30/18,0.25403125
12/1/18,0.9290625
12/2/18,2.803958333
12/3/18,5.2393125
12/4/18,-2.61996875
12/5/18,-4.787125
12/6/18,-4.392416667
12/7/18,-4.114760417
12/8/18,-6.978489583
12/9/18,-6.389125
12/10/18,-4.22375
12/11/18,-6.024270833
12/12/18,-3.570239583
12/13/18,-4.81478125
12/14/18,2.578020833
12/15/18,5.644833333
12/16/18,0.749895833
12/17/18,0.499833333
12/18/18,-6.326583333
12/19/18,-4.16759375
12/20/18,-1.01175
12/21/18,10.54547917
12/22/18,3.03709375
12/23/18,-1.88784375
12/24/18,-0.488020833
12/25/18,-2.021677083
12/26/18,-3.514614583
12/27/18,-0.59678125
12/28/18,4.89521875
12/29/18,3.210791667
12/30/18,-2.242333333
12/31/18,-1.074052083
1/1/19,2.860135417
1/2/19,-3.276885417
1/3/19,0.086625
1/4/19,-0.139916667
1/5/19,0.801666667
1/6/19,-0.5204375
1/7/19,-7.406364583
1/8/19,-17.22033565
1/9/19,-10.30689815
1/10/19,-3.981637731
1/11/19,-9.361452546
1/12/19,-9.372366898
1/13/19,-9.36568287
1/14/19,-9.346041667
1/15/19,-5.674606481
1/16/19,-2.986053241
1/17/19,-8.204421296
1/18/19,-2.583778935
1/19/19,-5.914481096
1/20/19,-8.573304398
1/21/19,-19.7978125
1/22/19,-13.14229745
1/23/19,-1.618107639
1/24/19,4.836597222
1/25/19,-2.550798611
1/26/19,-7.39650463
1/27/19,-3.961730324
1/28/19,-8.452175926
1/29/19,-6.42712963
1/30/19,-7.768084491
1/31/19,-19.13061921
2/1/19,-18.70851273
2/2/19,-10.38045139
2/3/19,1.633958333
2/4/19,3.767094907
2/5/19,4.693038194
2/6/19,-5.528003472
2/7/19,-16.29997685
2/8/19,-17.0010706
2/9/19,-21.22230324
2/10/19,-20.87951968
2/11/19,-19.95813079
2/12/19,-21.97469907
2/13/19,-17.84102431
2/14/19,-18.93777199
2/15/19,-15.89850694
2/16/19,-19.22546296
2/17/19,-20.01905671
2/18/19,-19.83327546
2/19/19,-20.35956481
2/20/19,-6.518104167
2/21/19,1.45921875
2/22/19,-0.057364583
2/23/19,-1.208885417
2/24/19,1.4544375
2/25/19,-1.734822917
2/26/19,-7.445354167
2/27/19,-9.740427083
2/28/19,-8.635354167
3/1/19,-2.195708333
3/2/19,1.170854167
3/3/19,1.20190625
3/4/19,-2.773208333
3/5/19,-6.413333333
3/6/19,-10.06979167
3/7/19,-10.02298958
3/8/19,-7.378989583
3/9/19,-3.586447917
3/10/19,0.077083333
3/11/19,3.818833333
3/12/19,-1.0226875
3/13/19,1.522916667
3/14/19,7.330145833
3/15/19,11.82278125
3/16/19,2.608177083
3/17/19,-1.814802083
3/18/19,-2.026104167
3/19/19,-0.30875
3/20/19,4.471302083
3/21/19,3.2531875
3/22/19,1.553708333
3/23/19,-1.57359375
3/24/19,3.440489583
3/25/19,2.17353125
3/26/19,-0.445291667
3/27/19,1.983541667
3/28/19,6.074510417
3/29/19,6.335114583
3/30/19,11.89611458
3/31/19,6.27709375
4/1/19,0.181760417
4/2/19,3.400604167
4/3/19,7.18784375
4/4/19,3.331625
4/5/19,0.869958333
4/6/19,5.876947917
4/7/19,10.87376042
4/8/19,7.64159375
4/9/19,6.411541667
4/10/19,4.48096875
4/11/19,4.65628125
4/12/19,7.379770833
4/13/19,16.40008333
4/14/19,14.906125
4/15/19,9.9944375
4/16/19,7.154447917
4/17/19,9.3906875
4/18/19,7.948072917
4/19/19,17.82745833
4/20/19,17.42327083
4/21/19,14.62114583
4/22/19,14.50573958
4/23/19,17.45932292
4/24/19,10.83077083
4/25/19,12.85989583
4/26/19,10.04173958
4/27/19,5.738072917
4/28/19,5.98571875
4/29/19,9.087364583
4/30/19,6.85225
5/1/19,8.953302083
5/2/19,12.17645833
5/3/19,10.84007292
5/4/19,15.4940625
5/5/19,12.79002083
5/6/19,16.63671875
5/7/19,15.9461875
5/8/19,13.78535417
5/9/19,12.12427083
5/10/19,12.93225
5/11/19,12.1689375
5/12/19,5.823875
5/13/19,7.002927083
5/14/19,6.540614583
5/15/19,11.15955208
5/16/19,13.70736458
5/17/19,13.14369792
5/18/19,15.6250625
5/19/19,19.83835417
5/20/19,21.78583333
5/21/19,13.34790625
5/22/19,14.22883333
5/23/19,17.3225625
5/24/19,15.72953125
5/25/19,17.17391667
5/26/19,21.79954167
5/27/19,20.04147917
5/28/19,12.07153125
5/29/19,15.29277083
5/30/19,17.06092708
5/31/19,19.82873958
6/1/19,20.94989583
6/2/19,19.86963542
6/3/19,14.1975
6/4/19,14.68507292
6/5/19,22.04828125
6/6/19,20.75535417
6/7/19,21.36758333
6/8/19,20.97621875
6/9/19,21.17997917
6/10/19,28.72107755
6/11/19,17.67839699
6/12/19,20.05177083
6/13/19,14.18824074
6/14/19,16.2940625
6/15/19,19.87456597
6/16/19,17.60552662
6/17/19,21.68906829
6/18/19,18.59197338
6/19/19,22.69371528
6/20/19,21.58927662
6/21/19,18.31152199
6/22/19,19.01630208
6/23/19,20.63952546
6/24/19,22.92824653
6/25/19,20.95232639
6/26/19,25.11300926
6/27/19,24.00158565
6/28/19,24.58662037
6/29/19,24.78604167
6/30/19,20.2012037
7/1/19,22.64137731
7/2/19,20.80652199
7/3/19,25.45834491
7/4/19,27.36146991
7/5/19,27.50957176
7/6/19,26.11140625
7/7/19,23.6998206
7/8/19,21.34382523
7/9/19,22.79586227
7/10/19,24.19358796
7/11/19,24.38643519
7/12/19,23.59940972
7/13/19,24.25530093
7/14/19,24.45045139
7/15/19,21.4396412
7/16/19,25.5601794
7/17/19,25.33927083
7/18/19,22.1614294
7/19/19,27.79300926
7/20/19,28.90621528
7/21/19,26.87021991
7/22/19,19.21579861
7/23/19,19.82112847
7/24/19,21.94287616
7/25/19,22.28535301
7/26/19,23.83838542
7/27/19,25.0764294
7/28/19,25.68635417
7/29/19,26.8232581
7/30/19,27.14788773
7/31/19,24.38441551
8/1/19,22.9060706
8/2/19,23.8498206
8/3/19,21.87111111
8/4/19,23.37768519
8/5/19,21.60446759
8/6/19,23.03727431
8/7/19,23.50291667
8/8/19,23.0043287
8/9/19,21.66445023
8/10/19,18.72799769
8/11/19,18.87702546
8/12/19,16.24464352
8/13/19,22.37361458
8/14/19,22.06434375
8/15/19,22.22797917
8/16/19,23.18866667
8/17/19,24.23275
8/18/19,24.61616667
8/19/19,24.59663542
8/20/19,23.91107292
8/21/19,22.54365625
8/22/19,22.79842708
8/23/19,18.74152083
8/24/19,17.61745833
8/25/19,18.2629375
8/26/19,16.74020833
8/27/19,17.78722917
8/28/19,22.6175
8/29/19,19.27280208
8/30/19,19.23103125
8/31/19,17.13070833
9/1/19,17.71239583
9/2/19,17.83534375
9/3/19,19.93460417
9/4/19,18.96264583
9/5/19,16.78677083
9/6/19,15.26210417
9/7/19,15.75284375
9/8/19,15.44832292
9/9/19,16.78396875
9/10/19,18.34475
9/11/19,23.2613125
9/12/19,15.85422917
9/13/19,15.60336458
9/14/19,15.66753125
9/15/19,19.00432292
9/16/19,16.43977083
9/17/19,13.28853125
9/18/19,12.67514583
9/19/19,11.60988542
9/20/19,13.1418125
9/21/19,16.99421875
9/22/19,19.19632292
9/23/19,23.09898958
9/24/19,16.43172917
9/25/19,14.24332292
9/26/19,13.01063542
9/27/19,13.58879167
9/28/19,18.84103125
9/29/19,17.05103125
9/30/19,15.35132292
10/1/19,17.75464583
10/2/19,18.79455208
10/3/19,9.084875
10/4/19,9.10384375
10/5/19,6.696333333
10/6/19,11.23929167
10/7/19,14.98008333
10/8/19,13.00258333
10/9/19,9.226416667
10/10/19,14.27273958
10/11/19,12.37905208
10/12/19,13.73417708
10/13/19,11.17091667
10/14/19,11.34501042
10/15/19,7.0546875
10/16/19,8.437041667
10/17/19,7.012333333
10/18/19,7.440020833
10/19/19,6.327354167
10/20/19,6.791333333
10/21/19,9.699125
10/22/19,10.41132292
10/23/19,10.96589583
10/24/19,8.482510417
10/25/19,8.525947917
10/26/19,9.512479167
10/27/19,7.855104167
10/28/19,12.12594792
10/29/19,12.24140625
10/30/19,14.3873125
10/31/19,17.26504167
11/1/19,8.087552083
11/2/19,3.25584375
11/3/19,2.394114583
11/4/19,5.1173125
11/5/19,8.656885417
11/6/19,2.322020833
11/7/19,2.792947917
11/8/19,-3.7325
11/9/19,-3.24065625
11/10/19,2.9495625
11/11/19,5.53425
11/12/19,-2.138072917
11/13/19,-8.431125
11/14/19,-3.326364583
11/15/19,0.907041667
11/16/19,-3.404135417
11/17/19,-3.719989583
11/18/19,1.7820625
11/19/19,1.57190625
11/20/19,0.888770833
11/21/19,1.89153125
11/22/19,3.525229167
11/23/19,0.505958333
11/24/19,1.154072917
11/25/19,3.4935
11/26/19,3.20628125
11/27/19,4.239697917
11/28/19,2.167114583
11/29/19,-2.075541667
11/30/19,-4.410354167
12/1/19,-5.86284375
12/2/19,-1.235375
12/3/19,-3.621802083
12/4/19,-0.963104167
12/5/19,-0.54021875
12/6/19,-1.64934375
12/7/19,-5.926895833
12/8/19,-7.769833333
12/9/19,5.218614583
12/10/19,5.32453125
12/11/19,-2.8911875
12/12/19,-5.93425
12/13/19,-0.3998125
12/14/19,6.924729167
12/15/19,1.519583333
12/16/19,-3.721322917
12/17/19,-3.093875
12/18/19,-3.519822917
12/19/19,-12.09573958
12/20/19,-10.961
12/21/19,-8.944885417
12/22/19,-5.84678125
12/23/19,-1.241666667
12/24/19,-0.174104167
12/25/19,-3.484541667
12/26/19,-0.049479167
12/27/19,3.904083333
12/28/19,1.51003125
12/29/19,1.050447917
12/30/19,0.114333333
12/31/19,0.827354167
1/1/20,-0.278177083
1/2/20,0.394510417
1/3/20,2.779916667
1/4/20,2.653510417
1/5/20,-1.671135417
1/6/20,-2.380083333
1/7/20,-0.717489583
1/8/20,-2.739520833
1/9/20,-7.601802083
1/10/20,2.107979167
1/11/20,12.79191667
1/12/20,9.842385417
1/13/20,0.166
1/14/20,2.735729167
1/15/20,1.789416667
1/16/20,-0.255385417
1/17/20,-10.87454167
1/18/20,-8.9114375
1/19/20,-1.115072917
1/20/20,-9.71625
1/21/20,-10.23808333
1/22/20,-6.797697917
1/23/20,-5.03846875
1/24/20,1.032197917
1/25/20,1.835447917
1/26/20,1.557958333
1/27/20,1.333489583
1/28/20,-0.585583333
1/29/20,-3.145135417
1/30/20,-4.999895833
1/31/20,-3.347979167
2/1/20,0.320947917
2/2/20,0.03184375
2/3/20,0.774177083
2/4/20,2.4615
2/5/20,-0.30184375
2/6/20,-0.49346875
2/7/20,-0.89553125
2/8/20,-5.8558125
2/9/20,-4.698333333
2/10/20,1.165583333
2/11/20,1.45465625
2/12/20,1.306177083
2/13/20,0.714739583
2/14/20,-8.336791667
2/15/20,-8.845104167
2/16/20,-0.611697917
2/17/20,-1.323427083
2/18/20,-0.873239583
2/19/20,-0.247291667
2/20/20,-5.744635417
2/21/20,-7.181614583
2/22/20,-3.475770833
2/23/20,0.135333333
2/24/20,3.356697917
2/25/20,5.27353125
2/26/20,4.354510417
2/27/20,0.860114583
2/28/20,-2.77503125
2/29/20,-5.58090625
3/1/20,-5.240458333
3/2/20,4.990385417
3/3/20,9.157010417
3/4/20,4.346260417
3/5/20,2.412875
3/6/20,2.353375
3/7/20,-0.599708333
3/8/20,1.5785
3/9/20,9.690135417
3/10/20,9.48871875
3/11/20,3.898291667
3/12/20,4.436302083
3/13/20,5.9773125
3/14/20,2.886260417
3/15/20,2.31234375
3/16/20,1.085197917
3/17/20,3.476854167
3/18/20,5.83846875
3/19/20,4.619104167
3/20/20,9.900333333
3/21/20,1.9865
3/22/20,0.07865625
3/23/20,-0.82471875
3/24/20,1.372729167
3/25/20,1.101791667
3/26/20,5.848291667
3/27/20,8.79325
3/28/20,3.570208333
3/29/20,5.394145833
3/30/20,3.712375
3/31/20,4.20284375
4/1/20,4.900677083
4/2/20,4.726572917
4/3/20,5.760520833
4/4/20,10.18207292
4/5/20,11.47821875
4/6/20,9.250583333
4/7/20,11.2415625
4/8/20,8.435885417
4/9/20,4.271208333
4/10/20,3.200416667
4/11/20,3.914072917
4/12/20,8.48834375
4/13/20,12.77945833
4/14/20,7.690145833
4/15/20,4.207635417
4/16/20,1.966572917
4/17/20,3.814114583
4/18/20,2.215989583
4/19/20,8.80584375
4/20/20,7.2761875
4/21/20,3.646927083
4/22/20,1.557947917
4/23/20,4.351416667
4/24/20,5.276645833
4/25/20,10.41798958
4/26/20,6.68559375
4/27/20,4.01265625
4/28/20,7.727864583
4/29/20,10.44533333
4/30/20,7.956927083
5/1/20,12.89938542
5/2/20,13.60430208
5/3/20,17.98441667
5/4/20,12.16611458
5/5/20,7.9253125
5/6/20,9.742583333
5/7/20,11.51857292
5/8/20,8.789760417
5/9/20,2.13346875
5/10/20,8.50721875
5/11/20,7.475333333
5/12/20,6.23903125
5/13/20,7.784125
5/14/20,13.47446875
5/15/20,19.51736458
5/16/20,17.60135417
5/17/20,16.97659375
5/18/20,14.92011458
5/19/20,15.33275
5/20/20,16.36932292
5/21/20,17.32475
5/22/20,21.15795833
5/23/20,20.18057292
5/24/20,18.59307292
5/25/20,18.78890625
5/26/20,23.62846875
5/27/20,24.86923958
5/28/20,22.24191667
5/29/20,24.84121875
5/30/20,20.57865625
5/31/20,13.41111458
6/1/20,29.14475974
6/2/20,NA
6/3/20,NA
6/4/20,NA
6/5/20,NA
6/6/20,NA
6/7/20,NA
6/8/20,NA
6/9/20,NA
6/10/20,NA
6/11/20,NA
6/12/20,NA
6/13/20,NA
6/14/20,NA
6/15/20,NA
6/16/20,NA
6/17/20,NA
6/18/20,NA
6/19/20,NA
6/20/20,NA
6/21/20,NA
6/22/20,NA
6/23/20,NA
6/24/20,NA
6/25/20,NA
6/26/20,NA
6/27/20,NA
6/28/20,NA
6/29/20,NA
6/30/20,NA
7/1/20,NA
7/2/20,NA
7/3/20,NA
7/4/20,NA
7/5/20,NA
7/6/20,NA
7/7/20,NA
7/8/20,NA
7/9/20,NA
7/10/20,NA
7/11/20,NA
7/12/20,NA
7/13/20,NA
7/14/20,NA
7/15/20,NA
7/16/20,NA
7/17/20,NA
7/18/20,NA
7/19/20,NA
7/20/20,NA
7/21/20,NA
7/22/20,NA
7/23/20,NA
7/24/20,NA
7/25/20,NA
7/26/20,NA
7/27/20,NA
7/28/20,NA
7/29/20,NA
7/30/20,NA
7/31/20,NA
8/1/20,27.76236709
8/2/20,24.32904167
8/3/20,25.7971875
8/4/20,20.17811458
8/5/20,23.28791667
8/6/20,21.09860417
8/7/20,20.3268125
8/8/20,24.78655208
8/9/20,24.18896875
8/10/20,25.22089583
8/11/20,26.93803125
8/12/20,24.76998958
8/13/20,23.50614583
8/14/20,24.082125
8/15/20,23.1911875
8/16/20,18.68201042
8/17/20,21.503
8/18/20,21.37354167
8/19/20,17.17984375
8/20/20,18.20929167
8/21/20,21.31673958
8/22/20,22.60242708
8/23/20,24.247125
8/24/20,24.81709375
